Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
,,,,,1095
62.0,36.20000076293945,100.0,,,1096
,,,,,1097
62.0,36.20000076293945,100.0,,,1098
,,,,,1099
62.0,36.20000076293945,100.0,,,1100
,,,,,1101
62.0,36.20000076293945,100.0,,,1102
,,,,,1103
62.0,36.20000076293945,100.0,,,1104
,,,,,1105
62.0,36.20000076293945,100.0,,,1106
,,,,,1107
62.0,36.20000076293945,100.0,,,1108
,,,,,1109
62.0,36.20000076293945,100.0,,,1110
,,,,,1111
62.0,36.20000076293945,100.0,,,1112
,,,,,1113
62.0,36.20000076293945,100.0,,,1114
,,,,,1115
62.0,36.20000076293945,100.0,,,1116
,,,,,1117
62.0,36.20000076293945,100.0,,,1118
,,,,,1119
62.0,36.20000076293945,100.0,,,1120
,,,,,1121
63.0,36.20000076293945,100.0,,,1122
,,,,,1123
63.0,36.20000076293945,100.0,,,1124
,,,,,1125
63.0,36.20000076293945,100.0,,,1126
,,,,,1127
63.0,36.20000076293945,100.0,,,1128
,,,,,1129
62.0,36.20000076293945,100.0,,,1130
,,,,,1131
62.0,36.20000076293945,100.0,,,1132
,,,,,1133
61.0,36.20000076293945,100.0,,,1134
,,,,,1135
61.0,36.20000076293945,100.0,,,1136
,,,,,1137
61.0,36.20000076293945,100.0,,,1138
,,,,,1139
62.0,36.20000076293945,100.0,,,1140
,,,,,1141
61.0,36.20000076293945,100.0,,,1142
,,,,,1143
61.0,36.20000076293945,100.0,,,1144
,,,,,1145
62.0,36.20000076293945,100.0,,,1146
,,,,,1147
61.0,36.20000076293945,100.0,,,1148
,,,,,1149
61.0,36.20000076293945,100.0,,,1150
,,,,,1151
61.0,36.20000076293945,100.0,,,1152
,,,,,1153
62.0,36.20000076293945,100.0,,,1154
,,,,,1155
62.0,36.20000076293945,100.0,,,1156
,,,,,1157
62.0,36.20000076293945,100.0,,,1158
,,,,,1159
62.0,36.20000076293945,100.0,,,1160
,,,,,1161
61.0,36.20000076293945,100.0,,,1162
,,,,,1163
61.0,36.20000076293945,100.0,,,1164
,,,,,1165
61.0,36.20000076293945,100.0,,,1166
,,,,,1167
61.0,36.20000076293945,100.0,,,1168
,,,,,1169
61.0,36.20000076293945,100.0,,,1170
,,,,,1171
62.0,36.20000076293945,100.0,,,1172
,,,,,1173
62.0,36.20000076293945,100.0,,,1174
,,,,,1175
62.0,36.20000076293945,100.0,,,1176
,,,,,1177
61.0,36.20000076293945,100.0,,,1178
,,,,,1179
61.0,36.20000076293945,100.0,,,1180
,,,,,1181
61.0,36.20000076293945,100.0,,,1182
,,,,,1183
62.0,36.20000076293945,100.0,,,1184
,,,,,1185
62.0,36.20000076293945,100.0,,,1186
,,,,,1187
62.0,36.20000076293945,100.0,,,1188
,,,,,1189
62.0,36.20000076293945,100.0,,,1190
,,,,,1191
62.0,36.20000076293945,100.0,,,1192
,,,,,1193
62.0,36.20000076293945,100.0,,,1194
,,,,,1195
63.0,36.20000076293945,100.0,,,1196
,,,,,1197
63.0,36.20000076293945,100.0,,,1198
,,,,,1199
63.0,36.20000076293945,100.0,,,1200
,,,,,1201
63.0,36.20000076293945,100.0,,,1202
,,,,,1203
