Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
,,,,,697
,,,,,698
,,,,,699
47.0,,100.0,10.0,,700
,,,,,701
,,,,,702
,,,,,703
47.0,,100.0,10.0,,704
,,,,,705
,,,,,706
,,,,,707
86.0,,100.0,10.0,,708
,,,,,709
,,,,,710
,,,,,711
86.0,,100.0,10.0,,712
,,,,,713
,,,,,714
,,,,,715
66.0,,100.0,10.0,,716
,,,,,717
,,,,,718
,,,,,719
66.0,,100.0,9.0,,720
,,,,,721
,,,,,722
,,,,,723
81.0,,100.0,9.0,,724
,,,,,725
,,,,,726
,,,,,727
79.0,,100.0,9.0,,728
,,,,,729
,,,,,730
,,,,,731
92.0,,100.0,9.0,,732
,,,,,733
,,,,,734
,,,,,735
92.0,,100.0,9.0,,736
,,,,,737
,,,,,738
,,,,,739
67.0,,100.0,10.0,,740
,,,,,741
,,,,,742
,,,,,743
67.0,,100.0,10.0,,744
,,,,,745
,,,,,746
,,,,,747
67.0,,100.0,11.0,,748
,,,,,749
,,,,,750
,,,,,751
82.0,,100.0,11.0,,752
,,,,,753
,,,,,754
,,,,,755
82.0,,100.0,11.0,,756
,,,,,757
,,,,,758
,,,,,759
73.0,,100.0,10.0,,760
,,,,,761
,,,,,762
,,,,,763
82.0,,100.0,10.0,,764
,,,,,765
,,,,,766
,,,,,767
92.0,,100.0,10.0,,768
,,,,,769
,,,,,770
,,,,,771
91.0,,100.0,10.0,,772
,,,,,773
,,,,,774
,,,,,775
91.0,,100.0,10.0,,776
,,,,,777
,,,,,778
,,,,,779
91.0,,100.0,10.0,,780
,,,,,781
,,,,,782
,,,,,783
91.0,,100.0,9.0,,784
,,,,,785
,,,,,786
,,,,,787
66.0,,100.0,9.0,,788
,,,,,789
,,,,,790
,,,,,791
60.0,,100.0,9.0,,792
,,,,,793
,,,,,794
,,,,,795
60.0,,100.0,9.0,,796
,,,,,797
,,,,,798
,,,,,799
67.0,,100.0,10.0,,800
,,,,,801
,,,,,802
,,,,,803
67.0,,100.0,10.0,,804
,,,,,805
,,,,,806
,,,,,807
61.0,,100.0,10.0,,808
,,,,,809
,,,,,810
,,,,,811
67.0,,100.0,10.0,,812
,,,,,813
,,,,,814
,,,,,815
66.0,,100.0,10.0,,816
,,,,,817
,,,,,818
,,,,,819
66.0,,100.0,10.0,,820
,,,,,821
,,,,,822
,,,,,823
80.0,,100.0,10.0,,824
,,,,,825
,,,,,826
,,,,,827
80.0,,100.0,10.0,,828
,,,,,829
,,,,,830
,,,,,831
89.0,,100.0,9.0,,832
,,,,,833
,,,,,834
,,,,,835
79.0,,100.0,9.0,,836
,,,,,837
,,,,,838
,,,,,839
79.0,,100.0,9.0,,840
,,,,,841
,,,,,842
,,,,,843
65.0,,100.0,9.0,,844
,,,,,845
,,,,,846
,,,,,847
64.0,,100.0,10.0,,848
,,,,,849
,,,,,850
,,,,,851
64.0,,100.0,10.0,,852
,,,,,853
,,,,,854
,,,,,855
64.0,,100.0,10.0,,856
,,,,,857
,,,,,858
,,,,,859
69.0,,100.0,10.0,,860
,,,,,861
,,,,,862
,,,,,863
69.0,,100.0,10.0,,864
,,,,,865
,,,,,866
,,,,,867
63.0,,100.0,10.0,,868
,,,,,869
,,,,,870
,,,,,871
69.0,,100.0,10.0,,872
